Category,Brand,Ttile,SKU Code,SKU Length,MRP,Case Pack,HSN,GST%,EAN/UPC,ASIN,FSN,BB ID,Blinkit ID,Swiggy ID,Zepto ID,Jiomart Id,Super daily,Margin to RK (ASP),Margin to CRPL (ASP),Margin to Blinkit (MRP),Margin to Swiggy (MRP),Margin to Dunzo (MRP),Margin to Bigbasket (MRP),Margin to Zepto (MRP),Margin to FK Grocery (MRP),Margin to RK Fresh (ASP)
Kitchen Towel Rolls,Origami,"Origami 2 Ply Kitchen Tissue Paper Roll - Pack of 12 (60 Pulls Per Roll, 720 Sheets)",,,629,12,,18%,8906004869051,B0C596C33M,-,,,,,-,,,,,,,,,,
Box Facial Tissues (Soft),Origami,"Box Facial Tissues Pack of 1, 200 Pulls, 2 Ply - Soft Pack",SFTP1P200P2,11,125,4,48181000,18%,8906004869044,B0CTT7VXFZ,FLTH3Q7GXCXHC6VZ,-,-,,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues (Soft),Origami,"Box Facial Tissues Pack of 1, 200 Pulls, 2 Ply - Soft Pack",SFTP1P200P2,11,125,4,48181000,18%,8906004869044,B0CTT7VXFZ,FLTGYDUZWZQRHFGG,,,,,,,,,,,,,,,
Box Facial Tissues (Soft),Origami,"Box Facial Tissues Pack of 3, 200 Pulls, 2 Ply - Soft Pack",SFTP3P200P2,11,375,8,48182000,18%,8906004860188,B0C597FX2B,FLTGPM88JP5HWBPR,-,-,48362,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues (Soft),Origami,"Box Facial Tissues Pack of 4, 200 Pulls, 2 Ply - Soft Pack",FT-PK4-200P-2PL,15,500,8,48182000,18%,8906004860195,B0C5955MS6,FLTGPM8DZFHSGASZ,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues (Soft),Origami,"Box Facial Tissues Pack of 6, 200 Pulls, 2 Ply - Soft Pack",SFTP6P200P2,11,750,10,48182000,18%,8906004860201,B0C9JKH9ND,FLTGPM8HG4GKWZSV,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues (Soft),Origami,"Box Facial Tissues Pack of 10, 200 Pulls, 2 Ply - Soft Pack",SFTP10P200P2,12,1250,6,48182000,18%,8906004860218,B0CB186RRT,FLTGPM8HSA8BZGKZ,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Good Karma,Origami Good Karma 2 Ply Unbleached Tissue Paper Napkins - Pack of 6-300 Pulls,GKNAP6P50P2,11,510,4,48182000,18%,8906004867064,B08P7JQMYP,NAPGQ58HUE9YZ2DA,-,-,52935,-,590309870,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Good Karma,Origami Good Karma 1 Ply Unbleached Tissue Paper Napkins- Pack of 6 - 600 Pulls,GKNAP6P100P1,12,480,4,48182000,18%,8906004867071,B08P7K4HJY,NAPGQ57FT5E7FGND,-,-,-,-,590309868,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Good Karma,Origami Good Karma 1 Ply Unbleached Tissue Paper Napkins- Pack of 6 - 600 Pulls,GKNAP6P100P1,12,480,4,48182000,18%,8906004867071,B08P7K4HJY,NAPGA38HQGT53AZM,,,,,,,,,,,,,,,
